id,family_id,star_count
20268576,6411,0
20316560,6411,0
45443671,6411,0
45580692,6411,0
60844403,6411,0
70207483,6411,0
7104,7104,190
7113,7104,0
1152840,7104,0
1397526,7104,0
2350493,7104,0
2581083,7104,0
2581084,7104,0
2581086,7104,0
2581087,7104,0
2581090,7104,0
2581092,7104,0
2581093,7104,0
2581094,7104,0
2581095,7104,0
2581096,7104,0
2581097,7104,0
2581098,7104,0
2581099,7104,0
2581100,7104,0
3296811,7104,0
7301898,7104,0
12444955,7104,0
22722203,7104,0
25900543,7104,0
30941837,7104,0
10316,10316,187
10396,10316,1
210746,10316,0
212824,10316,0
237108,10316,0
248871,10316,0
249304,10316,0
333459,10316,0
344477,10316,0
360288,10316,0
360361,10316,0
360902,10316,0
441447,10316,0
850432,10316,0
1440758,10316,0
2041343,10316,0
2041348,10316,0
2041352,10316,0
2041354,10316,0
2041356,10316,0
2041357,10316,0
2041362,10316,0
2041363,10316,0
2041365,10316,0
2041366,10316,0
2041371,10316,0
2041372,10316,0
2041373,10316,0
2041374,10316,0
2041376,10316,0
2041381,10316,0
2041387,10316,0
2041390,10316,0
2041392,10316,0
3392887,10316,0
3511666,10316,0
4150633,10316,0
4550103,10316,0
5351456,10316,0
6731437,10316,0
8339330,10316,0
9950519,10316,0
11773921,10316,0
11780360,10316,0
12723070,10316,0
13524407,10316,0
20759441,10316,0
26272718,10316,0
30048184,10316,0
35863967,10316,0
45930080,10316,0
117526597,10316,0
11706,11706,1818
150724,11706,0
199822,11706,0
222661,11706,0
238098,11706,0
244778,11706,0
258602,11706,0
276497,11706,0
280578,11706,0
295342,11706,0
318169,11706,0
347328,11706,3
353282,11706,1
385898,11706,0
403113,11706,1
415760,11706,0
419090,11706,0
419300,11706,0
427313,11706,0
441599,11706,0
442677,11706,2
449529,11706,0
465731,11706,0
592323,11706,0
629901,11706,1
638924,11706,0
723609,11706,0
904350,11706,0
1118393,11706,0
1127033,11706,1
1438304,11706,0
1443048,11706,0
1545091,11706,0
1797122,11706,0
1807044,11706,0
1840747,11706,0
1953118,11706,0
1957314,11706,0
2050852,11706,0
2050859,11706,0
2050862,11706,0
2050869,11706,0
2050870,11706,0
2050878,11706,0
2050882,11706,0
2050883,11706,0
2050886,11706,0
2050890,11706,0
2050894,11706,0
2050895,11706,0
2050896,11706,0
