,document,topic,gamma
452,71499975,1,0.904724138
453,73410622,1,0.969885173
454,76143114,1,0.994435771
455,77650088,1,0.994851773
456,78037858,1,0.578042859
457,86085564,1,0.895636933
458,86275984,1,0.863708805
459,86465157,1,0.855411835
460,87798310,1,0.927299763
461,89019850,1,0.40398886
462,91004902,1,0.941127761
463,91338035,1,0.68394082
464,93610231,1,0.90416995
465,93678793,1,0.719471498
466,40893789,1,0.734717053
467,41468026,1,0.376120872
468,43963458,1,0.906686614
469,44750230,1,0.502329181
470,48374352,1,0.771619695
471,54515143,1,0.834885372
472,60513398,1,0.49557524
473,64337577,1,0.518170135
474,67090314,1,0.466666074
475,67157087,1,0.524183358
476,67397973,1,0.657790433
477,68753430,1,0.538652895
478,75725178,1,0.835222343
479,81690623,1,0.585406549
480,82472443,1,0.944976657
481,83207790,1,0.745174422
482,83643786,1,0.791002333
483,86784109,1,0.919775329
484,95439666,1,0.88719471
485,41317452,1,0.485848257
486,44446637,1,0.459389708
487,46528506,1,0.369642422
488,48037604,1,0.74872726
489,50184727,1,0.518942703
490,51814417,1,0.729711942
491,54353287,1,0.610020197
492,55071873,1,0.883150639
493,59612472,1,0.424321198
494,66807981,1,0.763349948
495,74525052,1,0.456715759
496,76791654,1,0.565828756
497,79282057,1,0.939175363
498,80872050,1,0.584253245
499,83749549,1,0.448518305
500,88322894,1,0.952948351
501,89875965,1,0.87252528
502,92506374,1,0.612219977
503,95983699,1,0.844738376
504,96964059,1,0.871710898
505,97650875,1,0.504366835
506,98504632,1,0.818579321
507,33844417,1,0.396103095
508,35875015,1,0.582745094
509,36116899,1,0.543018159
510,41571690,1,0.343808174
511,42678771,1,0.521615244
512,44912460,1,0.623468486
513,45456786,1,0.289205521
514,49907291,1,0.60628664
515,52968610,1,0.431879455
516,56969465,1,0.721593494
517,62358911,1,0.735862785
518,62616155,1,0.931184981
519,65190622,1,0.735202839
520,67505549,1,0.630521956
521,69961551,1,0.872121272
522,70231896,1,0.54845419
523,74165774,1,0.743614494
524,75932805,1,0.865460784
525,82305638,1,0.453710596
526,83807887,1,0.848135551
527,94967691,1,0.473714454
528,33362433,1,0.261684776
529,34375034,1,0.531159723
530,36461898,1,0.658945633
531,39944498,1,0.53896443
532,41690648,1,0.573442264
533,41982087,1,0.799846225
534,45322699,1,0.564084023
535,46835603,1,0.550748523
536,50262928,1,0.989975998
537,50402886,1,0.910443691
538,50429509,1,0.652290445
539,51077138,1,0.740631442
540,51477673,1,0.94227924
541,58103964,1,0.457194977
542,60008154,1,0.497652142
543,61084820,1,0.739400668
544,62463760,1,0.579355002
545,62901575,1,0.751925318
546,63241317,1,0.983244419
547,65983285,1,0.818368552
548,66129318,1,0.725491487
549,69853361,1,0.71944355
550,70031851,1,0.586475247
551,70907771,1,0.949678526
552,74047326,1,0.508321461
553,77517369,1,0.7814295
554,79963207,1,0.780129414
555,80756250,1,0.861447786
556,83936836,1,0.771500075
557,84339568,1,0.568124907
558,84514220,1,0.917385137
559,85772541,1,0.465861241
560,86178431,1,0.614767
