,document,topic,gamma
356,46693291,1,0.735754506
357,46830275,1,0.886097896
358,53208990,1,0.842294055
359,54483823,1,0.808841649
360,54744926,1,0.397033819
361,61271404,1,0.941158476
362,62620851,1,0.875075854
363,66964798,1,0.829631247
364,68436487,1,0.814580067
365,17514419,1,0.437259043
366,18594785,1,0.240095827
367,20877016,1,0.33666517
368,23508036,1,0.907893905
369,23819156,1,0.890757223
370,23996759,1,0.825570142
371,25724659,1,0.813482459
372,28655071,1,0.768858955
373,31455784,1,0.380787109
374,40872533,1,0.967197262
375,42019126,1,0.730269279
376,44241657,1,0.683160964
377,44995486,1,0.760173505
378,45427711,1,0.815919463
379,46228033,1,0.756211506
380,46552992,1,0.913012989
381,49973413,1,0.847344113
382,56326949,1,0.855467971
383,58736245,1,0.676691916
384,62557927,1,0.782644737
385,63183973,1,0.878631699
386,63217192,1,0.701449435
387,63217193,1,0.701449435
388,65668232,1,0.626354101
389,66288495,1,0.584589744
390,69882698,1,0.737148002
391,71144769,1,0.662265013
392,73003442,1,0.966477399
393,74850656,1,0.486419509
394,75611637,1,0.799286179
395,76305671,1,0.735037716
396,76400914,1,0.699811125
397,12508416,1,0.272299658
398,12688920,1,0.390074687
399,17744896,1,0.389081064
400,17744898,1,0.389081064
401,18897575,1,0.391488876
402,21186081,1,0.495338493
403,22734111,1,0.728541433
404,22963897,1,0.722658579
405,23401940,1,0.663719618
406,24062331,1,0.870811985
407,30153688,1,0.300289133
408,30263567,1,0.25951929
409,30455440,1,0.502974388
410,31471701,1,0.911376592
411,31693296,1,0.68380003
412,32945238,1,0.887968686
413,35997506,1,0.778777571
414,36310063,1,0.770030486
415,38718215,1,0.677314443
416,42690896,1,0.647119802
417,42762327,1,0.747495257
418,42762377,1,0.720432859
419,42939383,1,0.919438104
420,43002485,1,0.702538353
421,43012581,1,0.705098242
422,43236537,1,0.6520015
423,44843053,1,0.585618284
424,44926262,1,0.694618992
425,45395745,1,0.730714435
426,45829340,1,0.812768329
427,45978639,1,0.769191356
428,46364771,1,0.804051823
429,46408327,1,0.788747087
430,49153276,1,0.830764656
431,49308407,1,0.734168639
432,51439587,1,0.831182715
433,53141550,1,0.742710886
434,53143470,1,0.665410281
435,54282917,1,0.735013129
436,55151336,1,0.705489606
437,55151886,1,0.897722659
438,55910617,1,0.819957219
439,57274141,1,0.732396676
440,58318468,1,0.759491558
441,58765314,1,0.410629763
442,59772743,1,0.75765093
443,61810393,1,0.728026335
444,62390639,1,0.912251455
445,66522655,1,0.796086937
446,66567638,1,0.360645767
447,66958962,1,0.755663183
448,67041407,1,0.71591431
449,67222227,1,0.754987532
450,68561545,1,0.851137152
451,68926137,1,0.544438574
