project_id,family_id,depth,stars,forks,active_forks,users_repo,users_also_in_family,age,followers_repo,followers_family,followers_outside,pr_repo,pr_family,pr_repo_comments,pr_family_comments,pr_repo_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_comments_repo,issue_comments_family,issue_comments_outside,issue_subscribed_repo,issue_subscribed_family,issue_subscribed_outside,issue_unsubscribed_repo,issue_unsubscribed_family,issue_unsubscribed_outside,issue_closed_repo,issue_closed_family,issue_closed_outside,issue_reopened_repo,issue_reopened_family,issue_reopened_outside,issue_referenced_repo,issue_referenced_family,issue_referenced_outside,issue_assigned_repo,issue_assigned_family,issue_assigned_outside,issue_mentioned_repo,issue_mentioned_family,issue_mentioned_outside,pr_mentioned_repo,pr_mentioned_family,pr_mentioned_outside,issue_mentioned_unique_repo,issue_mentioned_unique_family,issue_mentioned_unique_outside,pr_mentioned_unique_repo,pr_mentioned_unique_family,pr_mentioned_unique_outside,issue_repo_pos,issue_repo_neg,issue_family_pos,issue_family_neg,issue_outside_pos,issue_outside_neg,pr_repo_pos,pr_repo_neg,pr_family_pos,pr_family_neg,pr_repo_code_pos,pr_repo_code_neg,pr_family_code_pos,pr_family_code_neg
39823,36013,1,1,0,0,3,2,2508,0,2,116,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.3333,-1,1,-1,1,-1
41893,41893,0,108,30,14,5,4,2479,1,0,830,0,20,0,26,0,0,1,1,7,1,5,23,3,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,-1,1.4286,-1,1.3438,-1.4063,1,-1,1.2264,-1.1698,1,-1,1,-1
42212,42212,0,32,37,8,3,3,2704,1,0,404,0,19,0,16,0,0,0,1,2,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1.1429,-1,1,-1,1.3061,-1.1224,1,-1,1,-1
42463,42463,0,649,160,62,2,1,3307,0,15,2191,0,67,0,98,0,1,0,10,26,0,11,42,1,1,4,0,0,0,8,2,3,0,0,0,1,7,2,0,0,0,1,0,3,1,0,0,1,0,3,1,0,0,1,-1,1.0645,-1.1935,1.1781,-1.1233,1,-1,1.2178,-1.12,1,-1,1,-1
43494,43494,0,143,49,16,4,4,2922,0,1,571,0,22,0,18,0,3,0,5,10,0,6,26,6,1,6,0,0,0,10,1,3,0,1,1,2,4,0,0,0,0,4,1,0,0,0,0,3,1,0,0,0,0,1,-1,1.4,-1.2,1.2273,-1.1136,1,-1,1.2667,-1.1167,1,-1,1.6667,-1
46229,46229,0,14,47,9,8,5,2615,6,11,858,1,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1.3333,-1,1,-1.125,1,-1,1,-1
47753,46229,1,10,22,5,6,3,2470,3,8,803,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.4444,-1.2222,1,-1,1,-1
47754,46229,2,3,0,0,3,2,2400,1,5,208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
48448,48448,0,155,91,57,16,14,2543,5,1,726,1,127,0,238,0,34,33,34,36,54,40,71,3,3,3,0,0,0,60,3,3,3,0,0,46,20,1,2,0,0,3,3,3,2,0,0,3,2,2,1,0,0,1.1368,-1.1197,1.4312,-1.156,1.3063,-1.2613,1,-1,1.3035,-1.1289,1,-1,1.0909,-1.0606
48487,48487,0,246,65,37,9,9,2528,0,1,1482,5,41,20,119,2,8,7,5,18,17,6,46,19,5,6,0,0,0,11,2,6,1,0,0,5,0,0,0,0,0,9,3,2,8,6,0,8,3,2,8,3,0,1.4194,-1.3548,1.5333,-1.0667,1.4459,-1.2432,1.96,-1.44,1.4862,-1.2099,1,-1,1.125,-1.125
49558,49558,0,219,34,15,8,3,3600,6,2,1808,39,21,70,27,30,5,16,2,7,32,13,22,17,1,6,0,0,0,22,0,0,1,0,0,5,0,0,2,0,0,12,0,6,0,0,0,8,0,3,0,0,0,1.1077,-1.2,1.25,-1.1875,1.5455,-1.1818,1.1656,-1.0573,1.3333,-1.1212,1.1538,-1.2692,1,-1
54142,54142,0,3,16,2,2,2,3242,1,5,124,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
54237,54142,1,18,34,8,16,9,2895,24,6,1121,1,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
55284,55284,0,39,8,2,2,1,2415,0,0,17,0,2,0,2,0,0,1,0,2,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.8333,-1.3333,1,-1,1,-1
